condition,true_class_id,true_class,predicted_class_id,predicted_class,mean_normalized_count
wo_kd,0,affected_individuals,0,affected_individuals,0.7619047619047619
wo_kd,0,affected_individuals,1,infrastructure_and_utility_damage,0.09523809523809523
wo_kd,0,affected_individuals,2,rescue_volunteering_or_donation_effort,0.0
wo_kd,0,affected_individuals,3,other_relevant_information,0.0
wo_kd,0,affected_individuals,4,not_humanitarian,0.14285714285714285
wo_kd,1,infrastructure_and_utility_damage,0,affected_individuals,0.012820512820512822
wo_kd,1,infrastructure_and_utility_damage,1,infrastructure_and_utility_damage,0.9102564102564102
wo_kd,1,infrastructure_and_utility_damage,2,rescue_volunteering_or_donation_effort,0.025641025641025644
wo_kd,1,infrastructure_and_utility_damage,3,other_relevant_information,0.012820512820512822
wo_kd,1,infrastructure_and_utility_damage,4,not_humanitarian,0.03846153846153846
wo_kd,2,rescue_volunteering_or_donation_effort,0,affected_individuals,0.06084656084656084
wo_kd,2,rescue_volunteering_or_donation_effort,1,infrastructure_and_utility_damage,0.015873015873015872
wo_kd,2,rescue_volunteering_or_donation_effort,2,rescue_volunteering_or_donation_effort,0.8835978835978836
wo_kd,2,rescue_volunteering_or_donation_effort,3,other_relevant_information,0.005291005291005291
wo_kd,2,rescue_volunteering_or_donation_effort,4,not_humanitarian,0.03439153439153439
wo_kd,3,other_relevant_information,0,affected_individuals,0.031205673758865248
wo_kd,3,other_relevant_information,1,infrastructure_and_utility_damage,0.005673758865248227
wo_kd,3,other_relevant_information,2,rescue_volunteering_or_donation_effort,0.00425531914893617
wo_kd,3,other_relevant_information,3,other_relevant_information,0.8936170212765958
wo_kd,3,other_relevant_information,4,not_humanitarian,0.06524822695035461
wo_kd,4,not_humanitarian,0,affected_individuals,0.0496031746031746
wo_kd,4,not_humanitarian,1,infrastructure_and_utility_damage,0.003968253968253968
wo_kd,4,not_humanitarian,2,rescue_volunteering_or_donation_effort,0.02314814814814815
wo_kd,4,not_humanitarian,3,other_relevant_information,0.05158730158730159
wo_kd,4,not_humanitarian,4,not_humanitarian,0.8716931216931217
logits_kd,0,affected_individuals,0,affected_individuals,0.7142857142857143
logits_kd,0,affected_individuals,1,infrastructure_and_utility_damage,0.14285714285714285
logits_kd,0,affected_individuals,2,rescue_volunteering_or_donation_effort,0.0
logits_kd,0,affected_individuals,3,other_relevant_information,0.0
logits_kd,0,affected_individuals,4,not_humanitarian,0.14285714285714285
logits_kd,1,infrastructure_and_utility_damage,0,affected_individuals,0.0
logits_kd,1,infrastructure_and_utility_damage,1,infrastructure_and_utility_damage,0.9273504273504273
logits_kd,1,infrastructure_and_utility_damage,2,rescue_volunteering_or_donation_effort,0.017094017094017092
logits_kd,1,infrastructure_and_utility_damage,3,other_relevant_information,0.017094017094017092
logits_kd,1,infrastructure_and_utility_damage,4,not_humanitarian,0.038461538461538464
logits_kd,2,rescue_volunteering_or_donation_effort,0,affected_individuals,0.0
logits_kd,2,rescue_volunteering_or_donation_effort,1,infrastructure_and_utility_damage,0.023809523809523808
logits_kd,2,rescue_volunteering_or_donation_effort,2,rescue_volunteering_or_donation_effort,0.8915343915343916
logits_kd,2,rescue_volunteering_or_donation_effort,3,other_relevant_information,0.005291005291005291
logits_kd,2,rescue_volunteering_or_donation_effort,4,not_humanitarian,0.07936507936507936
logits_kd,3,other_relevant_information,0,affected_individuals,0.0
logits_kd,3,other_relevant_information,1,infrastructure_and_utility_damage,0.00851063829787234
logits_kd,3,other_relevant_information,2,rescue_volunteering_or_donation_effort,0.00425531914893617
logits_kd,3,other_relevant_information,3,other_relevant_information,0.902127659574468
logits_kd,3,other_relevant_information,4,not_humanitarian,0.08510638297872342
logits_kd,4,not_humanitarian,0,affected_individuals,0.008597883597883597
logits_kd,4,not_humanitarian,1,infrastructure_and_utility_damage,0.005291005291005291
logits_kd,4,not_humanitarian,2,rescue_volunteering_or_donation_effort,0.023809523809523808
logits_kd,4,not_humanitarian,3,other_relevant_information,0.0496031746031746
logits_kd,4,not_humanitarian,4,not_humanitarian,0.9126984126984127
