seed,sample_id,true_label,wo_prediction,logits_kd_prediction,change
3407,905252739109724160_0,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
3407,923601566220935168_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
3407,908842874309095424_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
3407,922942024411766784_0,rescue_volunteering_or_donation_effort,not_humanitarian,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,909751107018280960_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,904488944389292032_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,909757379620872193_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,910222788719513600_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,909875460443561984_0,rescue_volunteering_or_donation_effort,not_humanitarian,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,923654546764611584_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,909959866688655360_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,908842874309095424_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
42,923355133139963906_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
2024,909751107018280960_0,rescue_volunteering_or_donation_effort,other_relevant_information,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
2024,904488944389292032_0,rescue_volunteering_or_donation_effort,affected_individuals,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
2024,908842874309095424_0,rescue_volunteering_or_donation_effort,not_humanitarian,rescue_volunteering_or_donation_effort,wo_wrong_kd_correct
